X,Y,PROJEKT,GEMEINDE,STANDORT,VERF_ODL,PARAM_ODL,EINHEIT_OD,MESSW_ODL,LON,LAT,GEO,STRATIGRAP,GENESE,PETROGRAPH,BEMERKUNGE,name,type,name_1,type_1
12.368666094340465,49.511069213736668,BfS Ortsdosisleistu,,MP 53/BY 4/Ã–dmiesbach,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,93.2000000000,743840,5489726,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,forest
11.850367344368612,49.766547624035631,BfS Ortsdosisleistu,,MP 3/BY 4/Zettlitz,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,69.8000000000,705251,5516574,85,"Weichsel-(Wrm-)Kaltzeit; Niederterrasse",fluviatil,"Sand, Kies","z.T. mit Auenlehmdecke (/T,U,S/Lf); z.T. Niederungssande (Talsande) eingeschlossen",,,,forest
12.549056147872401,49.593979985179381,BfS Ortsdosisleistu,,MP 22/BY 15/Eslarn,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,85.3000000000,756460,5499541,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,forest
11.862995340266895,49.906180769787092,BfS Ortsdosisleistu,,MP 46/BY 3/Immenreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,68.9000000000,705567,5532130,608,"Trias, Buntsandstein ungegliedert",,"Sandstein, Schluffstein, Tonstein",,,commercial,,
12.072750580574811,49.601932667846128,BfS Ortsdosisleistu,,MP 27/BY 15/WeiÃ¡enbrunn,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,76.3000000000,722011,5498909,608,"Trias, Buntsandstein ungegliedert",,"Sandstein, Schluffstein, Tonstein",,,,,
12.458925904796493,49.896946609887941,BfS Ortsdosisleistu,,MP 81/BY 3/Poppenreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,117.5000000000,748395,5532911,847,Oberes Proterozoikum,"plutonisch, metamorph","Meta-Granit, Granitoide","GK500, DDR1990: Oberes Riph„ikum (Monzogranit bis Syenogranit); GK500, DDR1976: Rumburger Granit u.a.; Assyntische synkinematischer Granit (Granitoide) des B”hmer Waldes: GšK200, CC6334: +Gd",,farm,,
11.907141454191235,49.799177939508567,BfS Ortsdosisleistu,,MP 50/BY 11/Troglau,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,62.5000000000,709198,5520358,596,"Trias, Mittlerer Keuper, Stubensandstein",,Sandstein - Tonstein - Wechsellagen mit dolomitischen Einlagerungen,Sandsteinkeuper,,,,forest
12.411331188830603,49.676329386501621,BfS Ortsdosisleistu,,MP 41/BY 4/Steinbach,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,81.3000000000,746094,5508233,760,Oberes Proterozoikum,metamorph,Glimmerschiefer,z.T. auch glimmerreicher Gneis,,,,
12.390391203130623,49.759079310042452,BfS Ortsdosisleistu,,MP 69/BY 3/SilberhÂtte,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,72.8000000000,744168,5517362,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,forest
12.276510830015942,49.727388496321097,BfS Ortsdosisleistu,,MP 32/BY 4/FloÃ¡,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,64.4000000000,736122,5513475,858,Oberes Proterozoikum,berwiegend metamorph,,Typische Gesteine: Amphibolite,,residential,,
11.875926887346539,49.857794078444236,BfS Ortsdosisleistu,,MP 47/BY 3/Kuchen,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,86.9000000000,706702,5526787,597,"Trias, Mittlerer Keuper, Gipskeuper, Schilfsandstein",,Tonstein mit Lagen von Steinmergel und Gips,,,,,
12.372068829182531,49.915468300173721,BfS Ortsdosisleistu,,MP 16/BY 19/Wondreb,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,72.6000000000,742066,5534685,503,"Terti„r, Plioz„n, ungegliedert",,"Ton, Sand, Kies; Braunkohle",,,,,
12.020490795156064,49.773812388184552,BfS Ortsdosisleistu,,MP 14/BY 4/WaldmÂhle,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,30.3000000000,717467,5517861,546,"Kreide, Oberkreide",limnisch - fluviatile Ablagerungen,"Sand, Ton; gelegentlich Konglomerat",epikontinentale Fazies,,,,
11.813504693801304,49.769167577126602,BfS Ortsdosisleistu,,MP 41/BY 15/Tremmersdorf,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,137.2000000000,702586,5516765,602,"Trias, Muschelkalk",marine Ablagerungen,"Kalkstein, Mergelstein, Dolomitstein, Tonstein",,,,,
11.658129149637389,49.738087194968614,BfS Ortsdosisleistu,,MP 39/BY 15/Altzirkendorf,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,45.8000000000,691522,5512902,579,"Jura, Oberer Jura (Malm)","marine Ablagerungen, marin - brackisch","Mergelstein, Kalkstein, Dolomitstein, Kalksandstein",,,,,
12.252829521664577,49.818141634397534,BfS Ortsdosisleistu,,MP 57/BY 11/Schâ€nficht,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,120.6000000000,733978,5523488,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
12.427058311979691,49.977030724035643,BfS Ortsdosisleistu,,MP 13/BY 19/Neualbenreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,88.7000000000,745699,5541707,721,Kambrium ungegliedert,metamorph,Glimmerschiefer,,,,,
12.279365912055443,50.044127415307017,BfS Ortsdosisleistu,,MP 34/BY 3/MÂnchenreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,85.3000000000,734785,5548690,715,"Ordovizium, Tieferes Ordovizium","marine Ablagerungen, metamorph",Phyllit,,,,,
12.002476417740416,49.867024848628077,BfS Ortsdosisleistu,,MP 52/BY 3/RosenbÂhl,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,74.4000000000,715755,5528170,715,"Ordovizium, Tieferes Ordovizium","marine Ablagerungen, metamorph",Phyllit,,,,,
12.286255132223825,49.857278416906603,BfS Ortsdosisleistu,,MP 64/BY 3/RothenbÂrg,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,189.4000000000,736191,5527943,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
12.279748711208063,49.956084769315304,BfS Ortsdosisleistu,,MP 73/BY 3/Leonberg,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,57.8000000000,735242,5538905,508,"Terti„r, Mioz„n",fluviatil - limnische Ablagerungen,"Kies, Sand, Ton",,,,,
12.478162860758303,49.688617673337554,BfS Ortsdosisleistu,,MP 38/BY 4/LeÃ¡lohe,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,61.0000000000,750851,5509820,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,forest
12.14512722438567,49.730269114217052,BfS Ortsdosisleistu,,MP 10/BY 4/SÂÃ¡enlohe,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,68.9000000000,726642,5513390,760,Oberes Proterozoikum,metamorph,Glimmerschiefer,z.T. auch glimmerreicher Gneis,,,,
12.440224447699988,49.792238449641161,BfS Ortsdosisleistu,,MP 68/BY 3/Naab,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,77.2000000000,747587,5521211,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
12.066274228675642,49.660160250731366,BfS Ortsdosisleistu,,MP 50/BY 4/Rupprechtsreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,74.2000000000,721279,5505362,659,"Perm, Oberrotliegend","fluviatil, fanglomeratisch","Sandstein, Tonstein",Fanglomerat,,,,forest
12.133756363503393,49.609067507638152,BfS Ortsdosisleistu,,MP 17/BY 15/Rothenstadt,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,89.2000000000,726385,5499884,24,Holoz„n,fluviatil,"Sand, Kies, Schotter",z.T. unter Aulehmdecke [in den Alpen mit pleistoz„nen Terassen und Hangablagerungen,,,,
12.080069346538837,49.721852675473414,BfS Ortsdosisleistu,,MP 2/BY 15/Parkstein,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,82.0000000000,721993,5512260,596,"Trias, Mittlerer Keuper, Stubensandstein",,Sandstein - Tonstein - Wechsellagen mit dolomitischen Einlagerungen,Sandsteinkeuper,,,,
12.136540809380492,49.772075720588866,BfS Ortsdosisleistu,,MP 11/BY 4/Menzlhof,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,55.7000000000,725829,5518011,760,Oberes Proterozoikum,metamorph,Glimmerschiefer,z.T. auch glimmerreicher Gneis,Baumschulen Punzmann,commercial,,
12.411990483372801,49.635255863107993,BfS Ortsdosisleistu,,MP 40/BY 4/Pleystein,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,90.8000000000,746349,5503670,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
12.354039105883388,49.857854130162131,BfS Ortsdosisleistu,,MP 65/BY 3/LodermÂhl,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,118.4000000000,741059,5528223,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,residential,,
12.224489677571528,49.567445375538441,BfS Ortsdosisleistu,,MP 67/BY 4/Deindorf,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,79.3000000000,733137,5495535,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
12.328375422736638,49.825441204007966,BfS Ortsdosisleistu,,MP 71/BY 3/Stein,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,150.3000000000,739375,5524538,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
11.890548627539619,49.732930687342304,BfS Ortsdosisleistu,,MP 43/BY 15/Gâ€Ã¡enreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,135.0000000000,708288,5512948,602,"Trias, Muschelkalk",marine Ablagerungen,"Kalkstein, Mergelstein, Dolomitstein, Tonstein",,,,,
12.217006851731355,49.644172753782733,BfS Ortsdosisleistu,,MP 16/BY 15/Bechtsrieth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,85.8000000000,732231,5504040,660,"Perm, Unterrotliegend",,"Schieferton, Sandstein, Konglomerat, Kohle, Porphyrbreccie, Tuff",,,,,
12.321203618108417,49.574856174346365,BfS Ortsdosisleistu,,MP 24/BY 15/Karlhof,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,77.3000000000,740092,5496663,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
12.477988233921176,49.586503711958414,BfS Ortsdosisleistu,,MP 59/BY 4/Putzenrieth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,85.8000000000,751364,5498470,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,forest
11.887369874151803,49.93272625509892,BfS Ortsdosisleistu,,MP 44/BY 3/Ã–lbrunn,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,88.2000000000,707203,5535148,715,"Ordovizium, Tieferes Ordovizium","marine Ablagerungen, metamorph",Phyllit,,,,,
12.543793435474047,49.541641266041232,BfS Ortsdosisleistu,,MP 57/BY 4/Lindau,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,54.3000000000,756354,5493706,845,Oberes Proterozoikum - Altpal„ozoikum,metamorphes Intrusivgestein,"Orthogneis: granitisch, granodioritisch","šberg„nge zu Migmatiten; Metamorphose pr„-? bis frh(?)-variszisch",,,,forest
12.230863405997573,49.994029073891582,BfS Ortsdosisleistu,,MP 59/BY 11/RosenbÂhl,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,65.2000000000,731554,5542970,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,farmland,,
11.951846827581486,49.761827501886984,BfS Ortsdosisleistu,,MP 15/BY 4/Pressath,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,79.3000000000,712578,5516332,85,"Weichsel-(Wrm-)Kaltzeit; Niederterrasse",fluviatil,"Sand, Kies","z.T. mit Auenlehmdecke (/T,U,S/Lf); z.T. Niederungssande (Talsande) eingeschlossen",,,,
12.126511899946385,49.56185029380309,BfS Ortsdosisleistu,,MP 18/BY 15/GrÂnau,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,58.8000000000,726080,5494614,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,residential,,
12.133859368109009,49.783475100839183,BfS Ortsdosisleistu,,MP 5/BY 15/Pillersreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,60.6000000000,725583,5519270,760,Oberes Proterozoikum,metamorph,Glimmerschiefer,z.T. auch glimmerreicher Gneis,,,,
11.807072744692675,49.79293867853319,BfS Ortsdosisleistu,,MP 5/BY 4/MÂnchsreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,89.3000000000,702024,5519390,602,"Trias, Muschelkalk",marine Ablagerungen,"Kalkstein, Mergelstein, Dolomitstein, Tonstein",,,,,forest
11.842395935828426,49.822079308246543,BfS Ortsdosisleistu,,MP 41/BY 13/Neustadt,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,77.9000000000,704443,5522725,597,"Trias, Mittlerer Keuper, Gipskeuper, Schilfsandstein",,Tonstein mit Lagen von Steinmergel und Gips,,,,,
11.781465851011184,49.777255578838435,BfS Ortsdosisleistu,,MP 4/BY 4/Kotzenreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,48.9000000000,700246,5517578,597,"Trias, Mittlerer Keuper, Gipskeuper, Schilfsandstein",,Tonstein mit Lagen von Steinmergel und Gips,,,,,
12.470177187551382,49.937051556069285,BfS Ortsdosisleistu,,MP 79/BY 3/Altmugl,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,70.9000000000,748996,5537406,721,Kambrium ungegliedert,metamorph,Glimmerschiefer,,,,,
12.069486152876964,49.888632219752836,BfS Ortsdosisleistu,,MP 54/BY 3/Bâ€žrenhâ€he,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,126.2000000000,720471,5530767,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
12.019286507116433,49.585068576395926,BfS Ortsdosisleistu,,MP 28/BY 15/Kohlberg,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,94.0000000000,718224,5496878,659,"Perm, Oberrotliegend","fluviatil, fanglomeratisch","Sandstein, Tonstein",Fanglomerat,,,,
12.350724649273296,49.627060418393313,BfS Ortsdosisleistu,,MP 44/BY 4/Altenstadt,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,67.5000000000,741967,5502560,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
12.278732182649415,49.923275687918284,BfS Ortsdosisleistu,,MP 17/BY 19/MÂnchsgrÂn,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,64.8000000000,735329,5535255,508,"Terti„r, Mioz„n",fluviatil - limnische Ablagerungen,"Kies, Sand, Ton",,,,,
12.056743661664218,49.975783900949729,BfS Ortsdosisleistu,,MP 40/BY 3/Waldershof,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,78.2000000000,719160,5540417,508,"Terti„r, Mioz„n",fluviatil - limnische Ablagerungen,"Kies, Sand, Ton",,,,,
12.484722158257554,49.586228946385091,BfS Ortsdosisleistu,,MP 45/BY 19/Putzenrieth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,77.8000000000,751852,5498462,761,Oberes Proterozoikum,metamorph,Paragneis,,,farmland,,water
11.995042604437808,49.867226293678272,BfS Ortsdosisleistu,,MP 51/BY 11/Beringersreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,78.9000000000,715220,5528171,715,"Ordovizium, Tieferes Ordovizium","marine Ablagerungen, metamorph",Phyllit,,,,,
12.127321791123585,49.672866846397213,BfS Ortsdosisleistu,,MP 47/BY 15/Frauenricht,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,89.9000000000,725625,5506956,659,"Perm, Oberrotliegend","fluviatil, fanglomeratisch","Sandstein, Tonstein",Fanglomerat,,farmland,,
12.574066682771317,49.586398352965759,BfS Ortsdosisleistu,,MP 58/BY 4/Tillyschanz,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,71.1000000000,758307,5498784,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,forest
12.493227979925795,49.528442925463374,BfS Ortsdosisleistu,,MP 56/BY 4/Oberlangau,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,84.2000000000,752765,5492068,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
11.990100670917624,49.726497229437364,BfS Ortsdosisleistu,,MP 46/BY 15/Schwarzenbach,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,58.5000000000,715489,5512514,602,"Trias, Muschelkalk",marine Ablagerungen,"Kalkstein, Mergelstein, Dolomitstein, Tonstein",,,,,
12.352736688715307,49.584364701525203,BfS Ortsdosisleistu,,MP 46/BY 19/WastlmÂhle,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,88.8000000000,742324,5497821,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
11.734081331405488,49.743713126064691,BfS Ortsdosisleistu,,MP 25/BY 4/Kirchenthumbach,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,52.8000000000,696971,5513724,545,"Kreide, Oberkreide ungegliedert",,"Kalk- und Mergelstein, Tonstein, Sandstein",Sandstein: bes. Elbe-B”hmen,,,,
12.331552383735996,49.677709914028952,BfS Ortsdosisleistu,,MP 42/BY 4/Waldthurn,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,103.6000000000,740333,5508128,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
12.232001174849977,49.862143017131295,BfS Ortsdosisleistu,,MP 55/BY 11/Falkenberg,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,159.4000000000,732269,5528314,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
